Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Drinking_water,drinking_water,Adresse unbekannt,43.469915,11.040992,,259
Echoes Bruschetteria,restaurant,"vicolo Mainardi, 10, 53037, San Gimignano",43.469423,11.040937,,293
Ristorante Fuoriluogo,restaurant,"Via Niccolò Cannicci, 2/a, 53037, San Gimignano",43.470681,11.040260,,143
Magnino,restaurant,Adresse unbekannt,43.469681,11.041190,,293
Ristorante il Pino,restaurant,Adresse unbekannt,43.470055,11.041455,,292
Il Trovatore,restaurant,Adresse unbekannt,43.469196,11.040391,,278
Drinking_water,drinking_water,Adresse unbekannt,43.485008,11.005081,,170
Serraspina INT,drinking_water,Adresse unbekannt,43.427641,10.787115,,0
Drinking_water,drinking_water,Adresse unbekannt,43.400832,10.748846,,6
La Terrazza sul Borgo,restaurant,Adresse unbekannt,43.392728,10.750269,,43
Alimentari ortofrutta essedue,supermarket,Adresse unbekannt,43.392288,10.748751,,8
Il Buglione,restaurant,Adresse unbekannt,43.392709,10.749747,,13
,viewpoint,N/A,43.399938,10.866846,,2981
,viewpoint,N/A,43.403062,10.860050,,2905
,viewpoint,N/A,43.403313,10.860588,,2858
La Rocca,viewpoint,N/A,43.468155,11.041151,,420
,viewpoint,N/A,43.466973,11.044401,,759
,viewpoint,N/A,43.480368,11.013175,,10
Poggio del Comune,peak,N/A,43.452062,11.001137,602.000000,2425
Poggio del Comune,peak,N/A,43.461451,10.998492,625.000000,2179
Colle Cavina,peak,N/A,43.428904,10.972080,536.000000,1551
Colle Pescini,peak,N/A,43.435634,10.976276,462.000000,851
Poggio Covoni,peak,N/A,43.432654,10.978249,494.000000,1206
Poggio Pratocchio,peak,N/A,43.441543,10.979751,470.000000,307
Poggio Pitte,peak,N/A,43.486478,10.982453,460.000000,176
,viewpoint,N/A,43.436133,10.911320,,912
,viewpoint,N/A,43.437625,10.914495,,1031
Poggio Casalone,peak,N/A,43.437672,10.914478,399.000000,1037
Sasso di M. Nero,peak,N/A,43.433979,10.913159,433.000000,668
Poggio Castiglione,peak,N/A,43.501187,10.976623,322.000000,1861
Poggio Cornocchio,peak,N/A,43.451501,10.951504,631.000000,1088
Poggio Rosso,peak,N/A,43.497939,10.998875,297.000000,1241
Poggio dei Mocali,peak,N/A,43.500316,10.992410,361.000000,1458
Poggio del Bosco Fanciullo,peak,N/A,43.429722,10.932308,540.000000,182
Monte Nerino,peak,N/A,43.435932,10.921167,403.000000,768
Monte Nero,peak,N/A,43.432008,10.915536,508.000000,403
Poggio Capraio,peak,N/A,43.446681,10.934390,511.000000,1703
Poggio Porrione,peak,N/A,43.437449,10.961994,597.000000,260
Poggio al Rucchia,peak,N/A,43.435010,10.890383,230.000000,360
Poggio alle Rocche,peak,N/A,43.441833,10.940249,534.000000,949
Poggio della Prugnaia,peak,N/A,43.426119,10.885825,230.000000,401
Poggio della Prugnolaia,peak,N/A,43.422945,10.886320,222.000000,742
Monte Terzi,peak,N/A,43.382956,10.908731,461.000000,4854
Monte Massi,peak,N/A,43.394606,10.730489,617.000000,1978
Poggio alle Palancole,peak,N/A,43.420012,10.708692,573.000000,4808
Poggio di Fonterossa,peak,N/A,43.432490,10.716142,430.000000,4539
,viewpoint,N/A,43.433786,10.910123,,656
,viewpoint,N/A,43.468162,11.041347,,432
,viewpoint,N/A,43.433465,10.915665,,564
,viewpoint,N/A,43.434037,10.913022,,680
La Bertesca,peak,N/A,43.405815,10.978860,529.000000,4168
Monte Voltraio,peak,N/A,43.401403,10.904992,459.000000,2796
Poggio Ridulfo,peak,N/A,43.394413,10.890332,411.000000,3746
,viewpoint,N/A,43.413424,10.850442,,2483
Poggio Gennaio,peak,N/A,43.447303,10.888157,237.000000,1746
Poggio al Rucchio,peak,N/A,43.438027,10.875467,232.000000,1177
Poggio della Bandita,peak,N/A,43.430570,10.879919,185.000000,244
,viewpoint,N/A,43.463813,11.042575,,922
,viewpoint,N/A,43.468098,11.043149,,572
Le Balze,viewpoint,N/A,43.413611,10.851211,,2418
,viewpoint,N/A,43.461947,11.049044,,1515
,viewpoint,N/A,43.485276,11.005784,,215
,viewpoint,N/A,43.457854,11.044192,,1602
,viewpoint,N/A,43.474758,11.007043,,794
,viewpoint,N/A,43.471210,11.040909,,192
Poggio la Croce,peak,N/A,43.396167,10.739947,590.000000,944
,viewpoint,N/A,43.401640,10.862929,,2954
,viewpoint,N/A,43.403260,10.859445,,2911
,viewpoint,N/A,43.401099,10.904978,,2829
,viewpoint,N/A,43.415500,10.964580,,2634
,viewpoint,N/A,43.513195,10.995738,,2920
,viewpoint,N/A,43.467469,11.041528,,507
,viewpoint,N/A,43.478647,11.047189,,1198
,viewpoint,N/A,43.391727,10.750927,,156
,viewpoint,N/A,43.392995,10.746864,,181
