Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center
Hamburg,101,,53.550341,10.000654
Wiemerskamp,11,,53.735614,10.153918
Bargfeld-Stegen,28,,53.766700,10.200000
Nienwohld,12,,53.785912,10.193806
Sülfeld,19,,53.800323,10.231188
Grabau,26,,53.513836,10.521246
Travenbrück,25,,53.841789,10.312990
Neversdorf,6,,53.862928,10.285842
Bebensee,12,,53.876988,10.302447
Schwissel,11,,53.896361,10.293916
Traventhal,3,,53.900000,10.316700
Klein Gladebrügge,8,,53.916333,10.320390
Bad Segeberg,18,,53.942267,10.313794
Stipsdorf,10,,53.941842,10.335431
Quaal,8,,53.962082,10.373695
Wardersee,4,,53.983489,10.374538
Wensin,7,,53.993754,10.419467
Gnissau,4,,53.999024,10.482344
Ahrensbök,3,,54.013030,10.575264
Heuerstubben,1,,54.014433,10.501155
Barghorst,3,,54.023929,10.564608
Holstendorf,4,,53.756140,10.719339
Scharbeutz,46,,54.026634,10.755948
Haffkrug,2,,54.051934,10.749708
Sierksdorf,19,,54.066769,10.769445
Roge,6,,40.852916,-8.357171
Neustadt in Holstein,26,,54.102990,10.818674
Merkendorf,10,,49.203735,10.701835
Logeberg,6,,54.135610,10.849450
Groß Schlamin,15,,54.166026,10.865140
Beschendorf,19,,54.183496,10.875120
Lensahn,28,,54.220853,10.885998
Oldenburg in Holstein,30,,54.292257,10.880980
Giddendorf,13,,54.310265,10.928212
Gremersdorf,7,,54.110370,12.870848
Meeschendorf,9,,54.423972,11.249780
Neukirchen,5,,54.868712,8.733992
Ölendorf,9,,54.324580,11.039783
Lütjenbrode,21,,54.360688,11.034835
Großenbrode,27,,54.361591,11.083755
Fehmarn,12,,54.468738,11.134085
